Token 	Tags Validés
Bašta 	 NOM:com
, 	 PUN 
pepeo 	 NOM:com 
U 	 PRP 
kasna 	 ADJ 
letnja 	 ADJ
jutra 	 NOM:com 
majka 	 NOM:com 
je 	 VER:AUX 
ulazila 	 VER 
bešumno 	 ADV 
u 	 PRP 
sobu 	 NOM:com 
, 	 PUN 
noseći 	 VER 
poslužavnik 	 NOM:com 
. 	 SENT 
 	  
Taj 	 ADJ:DEM 
je 	 VER:AUX 
poslužavnik 	 NOM:com 
već 	 ADV 
počeo 	 VER 
da 	 KON:SUB 
gubi 	 VER 
tanku 	 ADJ 
niklovanu 	 ADJ 
glazuru 	 NOM:com 
kojom 	 PRO:REL 
je 	 VER:AUX 
nekad 	 ADV:IND 
bio 	 VER 
prevučen 	 VER
. 	 SENT 
 	  
Po 	 PRP 
ivicama 	 NOM:com 
, 	 PUN 
gde 	 ADV:REL 
se 	 PRO:REF 
plosnata 	 ADJ
površina 	 NOM:com 
izvija 	 VER 
u 	 PRP 
malo 	 ADV 
uzdignutiji 	 ADJ:KOM
obod 	 NOM:com 
, 	 PUN 
još 	 ADV 
su 	 VER:AUX 
se 	 PRO:REF 
videli 	 VER 
tragovi 	 NOM:com 
negdašnjeg 	 ADJ 
sjaja 	 NOM:com 
– 	 PUN 
u 	 PRP 
ljuspastim 	 ADJ 
plohama 	 NOM:com 
nikla 	 VER 
, 	 PUN 
sličnog 	 ADJ 
staniolu 	 NOM:com 
istanjenom 	 ADJ 
pod 	 PRP 
noktima 	 NOM:com 
. 	 SENT 
 	  
Uzak 	 ADJ
ravan 	 ADJ 
obod 	 NOM:com 
završava 	 VER 
se 	 PRO:REF 
ovalnim 	 ADJ
olukom 	 NOM:com 
izvijenim 	 ADJ 
naniže 	 ADV
. 	 SENT 
 	  
Taj 	 ADJ:DEM 
posuvraćeni 	 ADJ 
oluk 	 NOM:com 
već 	 ADV 
je 	 VER:AUX 
ulubljen 	 VER 
i 	 KON:COOR 
deformisan 	 VER
. 	 SENT 
 	  
Po 	 PRP 
gornjoj 	 ADJ 
ivici 	 NOM:com 
oboda 	 NOM:com 
, 	 PUN 
svuda 	 ADV 
naokolo 	 ADV 
, 	 PUN 
utisnuta 	 VER 
su 	 VER:AUX 
sitna 	 ADJ 
dekorativna 	 ADJ 
ispupčenja 	 NOM:com 
, 	 PUN 
čitav 	 ADJ 
đerdan 	 NOM:com 
malih 	 ADJ 
limenih 	 ADJ 
okaca 	 NOM:com 
. 	 SENT 
 	  
Onaj 	 PRO:DEM 
ko 	 PRO:REL 
bi 	 VER:AUX 
držao 	 VER 
poslužavnik 	 NOM:com 
( 	 PUN 
a 	 KON:COOR 
to 	 PRO:DEM 
je 	 VER:AUX 
bila 	 VER 
najčešće 	 ADV:SUP 
moja 	 ADJ:POS 
majka 	 NOM:com 
) 	 PUN 
morao 	 VER 
je 	 VER:AUX 
da 	 KON:SUB 
